Category,Claude capability,Current Claude source,What it does,Codex file(s) to create/update,Port steps,Compatibility notes,Priority
MCP,sequential-thinking MCP,./claude/setup.js and ./.codex/config.toml,Planning/reasoning helper MCP,./.codex/config.toml or plugin .mcp.json,Keep command npx -y @modelcontextprotocol/server-sequential-thinking; preserve trigger text,Already partially present,High
MCP,puppeteer MCP,./claude/setup.js and ./.codex/config.toml,Local browser/UI inspection,./.codex/config.toml or plugin .mcp.json,Keep command npx -y @modelcontextprotocol/server-puppeteer; preserve trigger text,Already partially present,High
MCP,context7 MCP,./claude/setup.js,Framework/library documentation lookup,./.codex/config.toml or plugin .mcp.json,Add mcp_servers.context7 with npx -y @upstash/context7-mcp and API key handling,Codex custom agents can also include MCP config for researcher-style agents,High
MCP,tavily MCP,./claude/setup.js and ./.codex/config.toml,Web search/research MCP,./.codex/config.toml or plugin .mcp.json,Keep command npx -y tavily-mcp; add TAVILY_API_KEY env from setup resolver,Already partially present but setup must generate key/env block,High
MCP,qmd MCP,./claude/setup.js,Obsidian RAG/query MCP,./.codex/config.toml or obsidian-plugin/.mcp.json,Add mcp_servers.qmd command qmd args [mcp]; document qmd prerequisite,Missing from current .codex/config.toml,Medium
Hook,PostToolUse Write TDD reminder,./general-plugin/hooks/hooks.json and ./general-plugin/hooks/tdd-reminder.sh,Warns when a new non-test Python file is written,./general-plugin/hooks/hooks.json and ./general-plugin/hooks/tdd-reminder.sh exposed by plugin manifest,Keep hook bundled in plugin; validate Codex PostToolUse input shape for file path fields and adjust script only if needed; use PLUGIN_ROOT or compatible CLAUDE_PLUGIN_ROOT env,Codex supports plugin-bundled PostToolUse hooks and Claude plugin env compatibility variables,High
Hook,Stop extract patterns,./general-plugin/hooks/extract-patterns.sh and ./general-plugin/skills/extract-patterns/SKILL.md,Blocks stop once per session to ask for lessons.md extraction,./general-plugin/hooks/hooks.json and ./general-plugin/hooks/extract-patterns.sh exposed by plugin manifest,Ensure Stop hook entry exists if desired; validate Codex Stop input and block response JSON; keep once-per-session flag behavior,"Codex supports Stop hooks that block with a reason, so this is portable with validation",Medium
Hook,UserPromptSubmit plugin auto-update,general-plugin/hooks/hooks.json and obsidian-plugin/hooks/hooks.json,Each plugin updates itself on prompt submit after the initial vibe-setup bootstrap install,general-plugin/codex-hooks/hooks.json and obsidian-plugin/codex-hooks/hooks.json,Use per-plugin ownership: general-plugin updates only general-plugin; obsidian-plugin updates only obsidian-plugin; claude/setup.js removes the old cross-plugin global updater instead of adding it,Initial bootstrap still comes from npx vibe-setup; ongoing self-update is plugin-bundled and versioned with each plugin,High
Hook,Ralph Wiggum Stop hook,./general-plugin/skills/ralph-wiggum/hooks/hooks.json and stop-hook.sh,Prevents Claude session exit and replays same prompt until promise/max iterations,Keep Claude hook; optional Codex-specific hook only if exact Ralph replay is required,"Prefer /goal-backed vibe:work-ralph; if exact Ralph semantics are required, adapt Stop hook to Codex input, use last assistant message if available, and gate state paths for Codex mode","Codex supports Stop hooks, but /goal is cleaner for long-running work",Low
Statusline,Claude statusline,./claude/statusline.sh and ./claude/setup.js,Adds Claude Code status line command,No Codex file planned,Leave Claude-only; document no Codex equivalent unless statusline support is added,Not part of functional skill/agent port,Low
Agent,build-error-resolver,./general-plugin/agents/build-error-resolver.md,Fixes build/type errors with minimal diffs,./.codex/agents/build-error-resolver.toml,"Convert frontmatter/body to Codex custom subagent TOML with name, description, developer_instructions, sandbox_mode; preserve markdown for Claude",Codex custom subagents are first-class; no skill wrapper required,Medium
Agent,code-reviewer,./general-plugin/agents/code-reviewer.md,Adversarial code review with quick/standard/deep modes,./.codex/agents/code-reviewer.toml,Convert to custom subagent TOML; set sandbox_mode=read-only; preserve depth/file-list protocol; update skills to spawn this custom subagent,Codex supports parallel subagents; format conversion plus wording update,High
Agent,debugger,./general-plugin/agents/debugger.md,Scientific-method bug investigation,./.codex/agents/debugger.toml,Convert to custom subagent TOML; choose workspace-write if debugger may apply fixes; update vibe:debug wording,Codex subagents can carry dedicated instructions and config,High
Agent,doc-updater,./general-plugin/agents/doc-updater.md,Checks and updates docs after completed work,./.codex/agents/doc-updater.toml,Convert to custom subagent TOML; keep docs sync protocol; update vibe:work final stage,Direct custom subagent port,High
Agent,python-reviewer,./general-plugin/agents/python-reviewer.md,Python static analysis and review,./.codex/agents/python-reviewer.toml,Convert to TOML; set sandbox_mode=read-only; keep static-analysis commands; ensure python-patterns reference,Direct read-only custom subagent port,High
Agent,researcher,./general-plugin/agents/researcher.md,Researches technical questions and writes .plan/RESEARCH.md,./.codex/agents/researcher.toml,Convert to TOML; map WebFetch/WebSearch wording to Codex web/search/tavily/context7 tools; include MCP config if useful,Codex subagent files can include mcp_servers and other config keys,Medium
Agent,security-reviewer,./general-plugin/agents/security-reviewer.md,Security review for OWASP/secrets/injection/dependencies,./.codex/agents/security-reviewer.toml,Convert to TOML; set sandbox_mode=read-only; keep security audit instructions; update vibe:review spawning,Direct read-only custom subagent port,High
Skill,vibe:add-tests,./general-plugin/skills/add-tests/SKILL.md,Retrofits tests onto completed changes,Same file under Codex plugin,Keep SKILL.md mostly unchanged; update wording from Claude Agent tool to Codex custom subagent spawning where applicable; preserve RED/GREEN rules,Skill format compatible; subagent support exists in Codex,High
Skill,context-optimization,./general-plugin/skills/context-optimization/SKILL.md,Guidance for context/cost optimization,Same file under Codex plugin,Keep as-is except any Claude-specific examples; include references/scripts in plugin packaging,Portable,Medium
Skill,vibe:debug,./general-plugin/skills/debug/SKILL.md,Collects symptoms and delegates to debugger agent,Same file plus .codex/agents/debugger.toml,Keep skill; update delegation wording to spawn Codex debugger custom subagent,"Depends on debugger TOML conversion, not workflow redesign",High
Skill,doc-coauthoring,./general-plugin/skills/doc-coauthoring/SKILL.md,Structured doc coauthoring workflow,Same file under Codex plugin,Keep as-is; adjust wording only if it names Claude explicitly,Portable,Medium
Skill,extract-patterns,./general-plugin/skills/extract-patterns/SKILL.md,Documents background hook behavior,Same file plus Codex hook config,Revise wording to say Claude and Codex both support hook-backed automatic behavior once plugin hook is trusted; keep scripts in hooks/,Portable with Codex hook validation,Medium
Skill,filesystem-context,./general-plugin/skills/filesystem-context/SKILL.md,Filesystem-based context engineering guidance,Same file under Codex plugin,Keep as-is; include references/scripts,Portable,Medium
Skill,frontend-design,./general-plugin/skills/frontend-design/SKILL.md,Frontend UI/UX design guidance,Same file under Codex plugin,Keep as-is; include LICENSE.txt; avoid naming collision with existing frontend-design plugins,Portable,Medium
Skill,vibe:plan,./general-plugin/skills/plan/SKILL.md,Interactive planning and .plan/PLAN.md creation,Same file under Codex plugin,Keep skill; translate Claude-specific tool metadata/wording only where confusing; preserve planning rigor,High-value but tool metadata may need cleanup,High
Skill,python-patterns,./general-plugin/skills/python-patterns/SKILL.md,Living Python project standards,Same file under Codex plugin,Keep as-is; ensure python-reviewer and vibe:work reference it,Portable,High
Skill,python-testing,./general-plugin/skills/python-testing/SKILL.md,Living pytest conventions,Same file under Codex plugin,Keep as-is; ensure add-tests and TDD skill reference it,Portable,High
Skill,vibe:review,./general-plugin/skills/review/SKILL.md,Adversarial review workflow using reviewer agents,Same file plus reviewer TOML agents,"Keep skill; update wording to spawn Codex code-reviewer, security-reviewer, and python-reviewer custom subagents; set [agents] max_threads/max_depth","Codex supports parallel subagents, close to Claude behavior",High
Skill,vibe:ship,./general-plugin/skills/ship/SKILL.md,PR preparation and draft push via gh,Same file under Codex plugin,Keep as-is; confirm gh commands and .plan transient checks remain valid,Portable,Medium
Skill,vibe:tasks,./general-plugin/skills/tasks/SKILL.md,Turns .plan docs into .plan/TASKS.md,Same file under Codex plugin,Keep skill; translate Claude-specific tool names such as AskUserQuestion/Glob/Grep only if needed,Mostly portable,High
Skill,test-driven-development,./general-plugin/skills/test-driven-development/SKILL.md,TDD guidance before implementation,Same file under Codex plugin,Keep as-is; include testing-anti-patterns.md; ensure AGENTS.md references it,Portable,High
Skill,vibe:verify,./general-plugin/skills/verify/SKILL.md,Conversational UAT and .plan/UAT.md recording,Same file under Codex plugin,Keep skill; translate metadata if needed,Portable,Medium
Skill,vibe:work-loop,./general-plugin/skills/work-loop/SKILL.md,Schedules recurring vibe:work across sessions,Same file or deprecate in favor of /goal docs,Reassess against Codex /goal; likely replace scheduling-centric behavior with guidance to use /goal for durable continuation,/goal covers much of long-running continuation more naturally than scheduler,Low
Skill,vibe:work-ralph,./general-plugin/skills/work-ralph/SKILL.md,Runs vibe:work in a Ralph loop in Claude,./general-plugin/skills/work-ralph/SKILL.md,"Keep the name vibe:work-ralph for Claude/plugin parity; for Codex, rewrite instructions to be used under /goal: /goal Use vibe:work-ralph to repeatedly execute vibe:work until all TASKS.md tasks are done and PLAN.md DoD passes; do not make the skill try to invoke /goal internally",/goal is the outer loop; vibe:work-ralph stores reusable workflow contract and stopping rules,High
Skill,vibe:work,./general-plugin/skills/work/SKILL.md,Executes TASKS.md with implementer/reviewer agents and DoD verification,Same file plus .codex/agents/*.toml,Keep skill; update subagent wording to Codex custom subagents; rely on [agents] max_threads/max_depth for parallelism; preserve status transitions and review loop,Complex but portable: effort is conversion/validation rather than redesign,High
Skill,vibe:ingest,./obsidian-plugin/skills/ingest/SKILL.md,Converts PDFs/directories with Marker and creates Obsidian study guides,Same file under Codex plugin,Keep skill; verify shell permissions for marker commands; preserve OBSIDIAN_VAULT behavior; document Marker prerequisite,Portable if shell access and Marker installed,Medium
Skill,vibe:learn,./obsidian-plugin/skills/learn/SKILL.md,Fetches web/GitHub/local repo content into Obsidian Tech notes,Same file plus MCP config,Keep skill; adapt any Claude WebFetch/WebSearch wording to Codex/tavily/browser tools; ensure qmd and OBSIDIAN_VAULT setup are documented,Portable with tool-name edits,Medium
Command,Ralph cancel command,./general-plugin/skills/ralph-wiggum/commands/cancel-ralph.md,Cancels Claude Ralph loop by removing .claude state file,No Codex file needed for /goal-backed path,Keep Claude command docs unchanged; only port if exact Stop-hook Ralph mode is implemented,"/goal has pause/resume/clear controls, so cancel command unnecessary for preferred Codex path",Low
Command,Ralph help command,./general-plugin/skills/ralph-wiggum/commands/help.md,Explains Ralph technique and commands,Docs update only,Update docs to explain Claude uses Ralph stop-hook loop while Codex keeps vibe:work-ralph name but uses /goal as loop mechanism,Informational only,Low
Command,Ralph loop command,./general-plugin/skills/ralph-wiggum/commands/ralph-loop.md,Initializes Claude Ralph loop through setup script,No Codex launcher file needed for preferred path,Do not port as a launcher for Codex /goal; replace with usage docs showing user-invoked /goal prompt for vibe:work-ralph,Skills should not assume they can invoke slash commands internally,Low
Script,Ralph setup script,./general-plugin/skills/ralph-wiggum/scripts/setup-ralph-loop.sh,Creates Claude Ralph loop state file,No Codex equivalent required for /goal-backed path,Keep Claude script unchanged; create Codex script only if exact Stop-hook replay mode is explicitly implemented,/goal avoids state-file setup script complexity,Low
Reference,review checklist,./general-plugin/skills/review/checklist.md,Pre-commit checklist used by reviewers,Same file under Codex plugin,Include unchanged; update references so ported reviewers read it from skill directory,Portable,High
Reference,TDD anti-patterns,./general-plugin/skills/test-driven-development/testing-anti-patterns.md,Supplemental testing guidance,Same file under Codex plugin,Include unchanged,Portable,Medium
Reference,context optimization references/scripts,./general-plugin/skills/context-optimization/references/optimization_techniques.md and scripts/compaction.py,Supplemental material and helper script,Same files under Codex plugin,Include unchanged; verify scripts usable from Codex skill context,Portable,Low
Reference,filesystem context references/scripts,./general-plugin/skills/filesystem-context/references/implementation-patterns.md and scripts/filesystem_context.py,Supplemental material and helper script,Same files under Codex plugin,Include unchanged; verify scripts usable from Codex skill context,Portable,Low
README,Root documentation,./README.md,Documents setup and Claude-first workflow,./README.md and ./codex/README.md,"Update to describe Codex parity, plugin install, subagent TOML generation, hooks trust flow, /goal usage for vibe:work-ralph, MCP config, and known Claude-only statusline",Needed so users understand transition,High
README,Codex README,./codex/README.md,Currently documents basic AGENTS/config/lessons setup,./codex/README.md,"Expand with Codex plugin install, custom subagent TOML generation, hooks trust flow, /goal usage for vibe:work-ralph, MCP env vars, and statusline caveat",Should explicitly say keep name vibe:work-ralph but use /goal on Codex,High
Output example,Codex setup output,./codex/vibe-setup output/,Shows expected Codex generated files,./codex/vibe-setup output/.codex/config.toml and plugin/agent examples,Regenerate example output after codex/setup.js changes; remove/deprecate stale config.json example,Keeps docs/tests aligned with generator,Medium
